id,amount
95825,100.0
92618,250000.0
92618,250000.0
92618,250000.0
10001,250000.0
10001,250000.0
95121,100.0
92108,100.0
91711,100.0
20036,250000.0
94301,250000.0
94301,250000.0
94301,250000.0
94301,250000.0
94595,1000.0
94062,100.0
91773,100.0
96080,100.0
96080,25.0
94515,100.0
98115,100.0
95110,100.0
94553,100.0
94061,100.0
95815,250000.0
95121,100.0
95401,100.0
96003,100.0
96003,20.0
92024,1000.0
90272,100.0
95519,100.0
95519,100.0
93003,100.0
92014,100.0
94114,100.0
92211,100.0
90265,100.0
93737,100.0
92081,100.0
95628,100.0
90025,250.0
93433,100.0
91105,100.0
20036,500000.0
91042,100.0
94014,100.0
93117,100.0
94129,250000.0
94024,100.0
95603,100.0
91304,100.0
89169,500.0
94609,100.0
91105,100.0
90404,25.0
90404,100.0
70005,100.0
95816,100.0
95472,100.0
92285,250.0
65201,25.0
65201,25.0
65201,50.0
91307,100.0
91307,50.0
92069,100.0
90015,100.0
94803,100.0
95815,400000.0
91423,100.0
94925,100.0
94553,100.0
94521,100.0
94509,25.0
94509,100.0
92054,100.0
94904,100.0
95815,1000000.0
95815,2000000.0
95124,50.0
95124,50.0
95124,50.0
95124,50.0
92677,100.0
92629,100.0
95032,100.0
94107,100.0
90713,100.0
90266,100.0
94941,250.0
92067,100.0
92067,250.0
94122,100.0
95401,100.0
92037,100.0
94951,25.0
94708,100.0
92662,100.0
92662,100.0
90272,100.0
96003,10.0
94619,100.0
92106,250.0
94709,100.0
95123,1000.0
97302,100.0
94112,100.0
92014,25.0
90029,100.0
94578,100.0
94127,100.0
94596,100.0
91905,100.0
94110,100.0
95949,100.0
94062,500.0
93737,100.0
93737,10.0
93737,25.0
92081,100.0
92081,100.0
94941,100.0
94702,100.0
93602,100.0
91601,100.0
93108,100.0
90278,10.0
94501,100.0
94501,100.0
94501,25.0
93119,100.0
91105,100.0
91105,50.0
20036,750000.0
20036,250000.0
92103,50.0
92103,50.0
91750,100.0
91750,25.0
94014,100.0
94301,1250000.0
94301,4000000.0
94301,1000000.0
92024,100.0
94115,100.0
94062,100.0
95817,150.0
93021,100.0
93021,25.0
93021,50.0
89169,500.0
93622,100.0
95824,100.0
90803,100.0
19103,100.0
19103,250.0
95472,100.0
94803,100.0
92285,250.0
92285,100.0
92285,100.0
92285,64.0
93065,100.0
91307,25.0
95747,100.0
93023,100.0
94578,500.0
94610,25.0
94610,100.0
94610,50.0
94901,100.0
94583,100.0
94618,100.0
94583,100.0
83712,1000.0
94109,100.0
76266,200.0
91108,100.0
94523,50.0
93924,1000.0
94061,100.0
94521,100.0
94509,25.0
93420,100.0
90713,25.0
92067,250.0
60077,1000.0
95126,100.0
90272,100.0
94709,100.0
94530,100.0
95519,200.0
90402,100.0
93240,50.0
94030,100.0
91423,100.0
91304,25.0
95030,25.0
93737,25.0
92647,100.0
90278,25.0
94501,25.0
94501,25.0
90402,50.0
20036,250000.0
20036,550000.0
94131,100.0
95242,100.0
90046,10000.0
90638,100.0
95018,25.0
90404,25.0
